,brand_ad,brand,advertiser,keys,values
,MINI_BMW미니컨버터블,MINI,BMW미니컨버터블,MINI_CONVERTIBLE,"MINICONVERTIBLE,미니컨버터블,미니컨버터블s,MINICONVERTIBLES"
,MINI_BMW미니컨트리맨,MINI,BMW미니컨트리맨,COUNTRYMAN,"COUNTRYMAN,컨트리맨,컨트리맨SD,컨트리맨D,컨트리맨S,컨트리맨SE"
,MINI_BMW미니쿠퍼,MINI,BMW미니쿠퍼,MINI,"쿠퍼,쿠퍼S,쿠퍼D,쿠퍼SD,쿠퍼SE"
,MINI_BMW미니클럽맨,MINI,BMW미니클럽맨,CLUBMAN,"clubman,클럽맨,clubmans,클럽맨S,clubmanD,클럽맨D"
,MINI_BMW미니JCW클럽맨&컨트리맨,MINI,BMW미니JCW클럽맨&컨트리맨,JCW,"컨트리맨JCW,미니JCW"
,BMW_BMW코리아5시리즈,BMW,BMW코리아5시리즈,5Series,"5시리즈,5Series,520i,523D,523DXDRIVE,530I,530IXDRIVE,540IXDRIVE,M550IXDRIVE"
,BMW_BMW코리아7시리즈,BMW,BMW코리아7시리즈,7Series,"730dxDrive,730LdxDrive,740dxDrive,740ixDrive,740LixDrive,M760LixDrive"
,BMW_BMWI8,BMW,BMWI8,I8,"I8,아이팔,i8roadster,i8로드스터"
,BMW_BMWM5,BMW,BMWM5,M5,m5
,BMW_BMWX,BMW,BMWX,X1,"X1,xDrive18d,xDrive20i,bmwxDrive18d,bmwxDrive20i,bmwX1"
,BMW_BMWX3,BMW,BMWX3,X3,"X3,xDrive20i,xDrive20d,xDrive30d,M40ixDrive,bmwX3,bmwxDrive20i,bmwxDrive20d,bmwxDrive30d,bmwM40ixDrive"
,BMW_BMWX5,BMW,BMWX5,X5,"X5,xDrive30d,xDrive40d,xDrive40i,M50i,bmwX5,bmwxDrive30d,bmwxDrive40d,bmwxDrive40i,M50i"
,BMW_BMWX6,BMW,BMWX6,X6,"X6,X6xDrive30d,X6xDrive40d,X6xDrive40i,X5M50i,bmwX6,bmwX6xDrive30d,bmwX6xDrive40d,bmwX6xDrive40i,BMWX5M50i"
,BMW_BMWX7,BMW,BMWX7,X7,"X7,X7xDrive 40i,X7xDrive 40d,X7xDrive M50i,X7,bmwX7xDrive40i,bmwX7xDrive40d,bmwX7xDriveM50i"
,BMW_BMWX드라이브,BMW,BMWX드라이브,BMW,BMWX드라이브
,BMW_BMWX레인지,BMW,BMWX레인지,BMW,BMWX레인지
,FCA코리아,,FCA코리아,,
,Chrysler_FCA지프,Chrysler,FCA지프,JEEP,"지프, JEEP"
,FMK,,FMK,,
,Maserati_FMK마세라티,Maserati,FMK마세라티,Maserati,"마세라티, MASERATI"
,Maserati_FMK마세라티그란투리스모,Maserati,FMK마세라티그란투리스모,GRAN_TURISMO,"GRANTURISMO,마세라티그란투리스모"
,Citroen_한불모터스시트로엥C4칵투스,Citroen,한불모터스시트로엥C4칵투스,C4,"C4, 시트로앵C4, 칵투스, 시트로앵칵투스"
,Citroen_한불모터스시트로엥C5에어크로스,Citroen,한불모터스시트로엥C5에어크로스,C5,"C5, 시트로앵C5, 시트로앵C5에어크로스"
,Citroen_한불모터스시트로엥그랜드C4스페이스투어러,Citroen,한불모터스시트로엥그랜드C4스페이스투어러,GRAND_C4,"grandc4, SPACETOURER, 그랜드C4"
,Citroen_한불모터스시트로엥그랜드C4피카소,Citroen,한불모터스시트로엥그랜드C4피카소,GRAND_C4,"grandc4, SPACETOURER, 그랜드C4"
,Toyota_한국토요타RAV4,Toyota,한국토요타RAV4,RAV4,"ToyotaRAV4,라브포,라브4,도요타라브포,도요타라브4"
,Toyota_한국토요타시에나,Toyota,한국토요타시에나,SIENNA,"ToyotaSiennaHybrid,시에나하이브리드,도요타시에나하이브리드"
,Toyota_한국토요타아발론,Toyota,한국토요타아발론,AVALON,"도요타아발론하이브리드,아발론하이브리드,Toyota Avalon Hybrid,도요타Avalon Hybrid"
,Toyota_한국토요타캠리,Toyota,한국토요타캠리,CAMRY,"도요타캠리,ToyotaCamry,도요타Camry"
,Toyota_한국토요타캠리&프리우스,Toyota,한국토요타캠리&프리우스,CAMRY,"도요타캠리,ToyotaCamry,도요타Camry"
,Toyota_한국토요타프리우스프라임,Toyota,한국토요타프리우스프라임,PRIOUS,"도요타캠리,ToyotaCamry,도요타Camry"
,Maserati_FMK마세라티기블리,Maserati,FMK마세라티기블리,GHIBLI,"마세라티기블리,기블리"
,Maserati_FMK마세라티르반떼,Maserati,FMK마세라티르반떼,LEVANTE,"마세라티르반테,마세라티르반떼"
,Maserati_FMK마세라티르반떼트로페오,Maserati,FMK마세라티르반떼트로페오,LEVANTE,"마세라티르반테,마세라티르반떼"
,Maserati_FMK마세라티르반떼GTS,Maserati,FMK마세라티르반떼GTS,LEVANTE,"마세라티르반테,마세라티르반떼"
,Maserati_FMK마세라티SUV,Maserati,FMK마세라티SUV,LEVANTE,"마세라티르반테,마세라티르반떼"
,Lexus_한국토요타렉서스RX450HL,Lexus,한국토요타렉서스RX450HL,RX450HL,"알엑스450L, RX450HL"
,Lexus_한국토요타렉서스RX,Lexus,한국토요타렉서스RX,RX350,"알엑스삼백오십,알엑스350, RX350"
,Lexus_한국토요타렉서스NX,Lexus,한국토요타렉서스NX,NX300,"엔엑스300,엔엑스삼백, NX300"
,Lexus_한국토요타렉서스LC500H,Lexus,한국토요타렉서스LC500H,LC500H,"엘씨오백에이치,엘씨오백하이브리드,엘씨500h, LC500H"
,Lexus_한국토요타렉서스LS,Lexus,한국토요타렉서스LS,LS500,"엘에스오백,엘에스500, LS500"
,Lexus_한국토요타렉서스LS500,Lexus,한국토요타렉서스LS500,LS500,"엘에스오백,엘에스500, LS500"
,Lexus_한국토요타렉서스LS500H,Lexus,한국토요타렉서스LS500H,LS500H,"엘에스오백에이치,엘에스오백하이브리드,엘에스하이브리드, LS500H"
,Lexus_한국토요타렉서스UX,Lexus,한국토요타렉서스UX,UX250H,"유엑스이오공하이브리드,유엑스이오공h, UX250H"
,Lexus_한국토요타렉서스UX250H,Lexus,한국토요타렉서스UX250H,UX250H,"유엑스이오공하이브리드,유엑스이오공h, UX250H"
,Chrysler_FCA지프체로키&그랜드체로키,Chrysler,FCA지프체로키&그랜드체로키,CHEROKEE,"채로키 2.2,체로키 2.2,Jeep Cherokee 2.2,지프 채로키 2.2,지프 체로키 2.2,채로키2.2,체로키2.2,JeepCherokee2.2,지프채로키2.2,지프체로키2.2"
,Peugeot_한불모터스푸조2008,Peugeot,한불모터스푸조2008,2008,"푸조2008, 푸조2008SUV, 2008"
,Peugeot_한불모터스푸조3008,Peugeot,한불모터스푸조3008,3008,"푸조3008, 3008"
,Peugeot_한불모터스푸조308GT,Peugeot,한불모터스푸조308GT,308,"푸조308, 푸조308SW"
,Peugeot_한불푸조308,Peugeot,한불푸조308,308,"푸조308, 푸조308SW"
,Peugeot_한불모터스푸조5008,Peugeot,한불모터스푸조5008,5008,"푸조5008, 푸조5008GT, 5008, 푸조5008GT, PUGEOT5008"
,Peugeot_한불모터스푸조508,Peugeot,한불모터스푸조508,508,"푸조508, 508, 508GT, 푸조508알뤼르, 푸조508ALLURE, PUGEOT508, 508SW, 푸조508GT"
,Peugeot_한불모터스푸조SUV,Peugeot,한불모터스푸조SUV,508,"푸조508, 508, 508GT, 푸조508알뤼르, 푸조508ALLURE, PUGEOT508, 508SW, 푸조508GT"
,Honda_혼다CR-V,Honda,혼다CR-V,CR_V,"혼다 CRV,CRV,2021혼다"
,Honda_혼다CR-V&파일럿,Honda,혼다CR-V&파일럿,CR_V,"혼다 CRV,CRV,2021혼다"
,Honda_혼다ACCORD,Honda,혼다ACCORD,ACCORD,"혼다어코드,혼다,어코드,혼다어코드1.5T"
,Honda_혼다파일럿,Honda,혼다파일럿,PILOT,"혼다파일럿,혼다 pilot,pilot honda,honda pilot"
,,,총합계,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,